Id,step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
1,0,'C1093826151','4','M','28007','M348934600','28007','es_transportation',4.55,0
2,0,'C352968107','2','M','28007','M348934600','28007','es_transportation',39.68,0
3,0,'C2054744914','4','F','28007','M1823072687','28007','es_transportation',26.89,0
4,0,'C1760612790','3','M','28007','M348934600','28007','es_transportation',17.25,0
5,0,'C757503768','5','M','28007','M348934600','28007','es_transportation',35.72,0
6,0,'C1315400589','3','F','28007','M348934600','28007','es_transportation',25.81,0
7,0,'C765155274','1','F','28007','M348934600','28007','es_transportation',9.1,0
8,0,'C202531238','4','F','28007','M348934600','28007','es_transportation',21.17,0
9,0,'C105845174','3','M','28007','M348934600','28007','es_transportation',32.4,0
10,0,'C39858251','5','F','28007','M348934600','28007','es_transportation',35.4,0
11,0,'C98707741','4','F','28007','M348934600','28007','es_transportation',14.95,0
12,0,'C1551465414','1','M','28007','M1823072687','28007','es_transportation',1.51,0
13,0,'C623601481','3','M','28007','M50039827','28007','es_health',68.79,0
14,0,'C1865204568','5','M','28007','M1823072687','28007','es_transportation',20.32,0
15,0,'C490238464','3','M','28007','M348934600','28007','es_transportation',13.56,0
16,0,'C194016923','3','F','28007','M348934600','28007','es_transportation',30.19,0
17,0,'C1207205377','4','M','28007','M1823072687','28007','es_transportation',17.54,0
18,0,'C834963773','5','F','28007','M348934600','28007','es_transportation',40.69,0
19,0,'C1897705669','2','M','28007','M348934600','28007','es_transportation',21.21,0
20,0,'C124539163','2','F','28007','M348934600','28007','es_transportation',10.09,0
21,0,'C1687101094','2','F','28007','M348934600','28007','es_transportation',19.31,0
22,0,'C1695454092','2','M','28007','M348934600','28007','es_transportation',44.22,0
23,0,'C986553990','5','F','28007','M348934600','28007','es_transportation',44.39,0
24,0,'C819690995','5','F','28007','M348934600','28007','es_transportation',30.72,0
25,0,'C1622124632','2','M','28007','M348934600','28007','es_transportation',29.84,0
26,0,'C187514477','3','M','28007','M348934600','28007','es_transportation',12.1,0
27,0,'C272748313','4','M','28007','M348934600','28007','es_transportation',24.84,0
28,0,'C490092965','2','M','28007','M348934600','28007','es_transportation',16.42,0
29,0,'C546957379','5','M','28007','M348934600','28007','es_transportation',2.19,0
30,0,'C1563705147','5','F','28007','M348934600','28007','es_transportation',32.27,0
31,0,'C1273110804','4','M','28007','M348934600','28007','es_transportation',28.09,0
32,0,'C1582366224','5','M','28007','M1823072687','28007','es_transportation',16.13,0
33,0,'C998987490','2','F','28007','M348934600','28007','es_transportation',32.7,0
34,0,'C1413412440','2','F','28007','M348934600','28007','es_transportation',25.53,0
35,0,'C1166355595','4','F','28007','M348934600','28007','es_transportation',39.22,0
36,0,'C719598710','5','F','28007','M348934600','28007','es_transportation',46.14,0
37,0,'C1161949399','2','M','28007','M348934600','28007','es_transportation',29.55,0
38,0,'C60351691','2','F','28007','M1823072687','28007','es_transportation',36.88,0
39,0,'C1769927077','2','F','28007','M348934600','28007','es_transportation',36.15,0
40,0,'C995844287','5','F','28007','M348934600','28007','es_transportation',2.81,0
41,0,'C1425441042','2','M','28007','M1888755466','28007','es_otherservices',87.67,0
42,0,'C337109624','2','F','28007','M1823072687','28007','es_transportation',11.17,0
43,0,'C1635613216','4','F','28007','M1053599405','28007','es_health',105.59,0
44,0,'C996804095','3','M','28007','M348934600','28007','es_transportation',15.25,0
45,0,'C1331907286','2','M','28007','M348934600','28007','es_transportation',33.36,0
46,0,'C506520283','4','F','28007','M348934600','28007','es_transportation',32.96,0
47,0,'C83613815','2','F','28007','M348934600','28007','es_transportation',16.96,0
48,0,'C1697528836','3','F','28007','M1823072687','28007','es_transportation',49.91,0
